勒布朗-詹姆斯,3096
詹姆斯-哈登,2654
德玛尔-德罗赞,2654
迈克-康利,2654
凯文-杜兰特,2654
艾尔-霍福德,2654
拉塞尔-威斯布鲁克,2654
德克-诺维茨基,2500
卡梅罗-安东尼,2456
达米安-利拉德,2433
克里斯-波什,2374
德维恩-韦德,2320
德怀特-霍华德,2318
克里斯-保罗,2287
钱德勒-帕森斯,2212
安德烈-德拉蒙德,2212
布拉德利-比尔,2212
安东尼-戴维斯,2212
哈桑-怀特塞德,2212
哈里森-巴恩斯,2212
德里克-罗斯,2132
凯文-乐福,2117
德安德鲁-乔丹,2117
布鲁克-洛佩斯,2117
马克-加索尔,2117
尼古拉斯-巴通姆,2087
拉玛库斯-阿尔德里奇,2058
布雷克-格里芬,2014
保罗-米尔萨普,2007
莱恩-安德森,1874
阿伦-克拉布,1850
保罗-乔治,1831
洛尔-邓,1800
凯里-欧文,1764
科怀-伦纳德,1764
吉米-巴特勒,1755
托比亚斯-哈里斯,1720
埃内斯-坎特,1715
韦斯利-马修斯,1710
格雷格-门罗,1710
埃文-富尼耶,1700
俾斯麦-比永博,1700
乔金-诺阿,1700
约翰-沃尔,1696
德马库斯-考辛斯,1696
克莱-汤普森,1666
埃文-特纳,1639
戈登-海沃德,1607
季莫费-莫兹戈夫,1600
伊安-马辛米,1594
