斯蒂芬-库里,4301
克里斯-保罗,4136
拉塞尔-威斯布鲁克,4101
约翰-沃尔,4082
詹姆斯-哈登,4082
勒布朗-詹姆斯,3922
凯文-杜兰特,3906
布雷克-格里芬,3660
保罗-乔治,3545
克莱-汤普森,3536
迈克-康利,3450
吉米-巴特勒,3438
科怀-伦纳德,3438
肯巴-沃克,3438
戈登-海沃德,3419
托比亚斯-哈里斯,3352
凯里-欧文,3333
克里斯-米德尔顿,3305
达米安-利拉德,3163
凯文-乐福,3130
凯尔-洛瑞,3000
安德鲁-威金斯,2954
乔尔-恩比德,2954
克里斯塔普斯-波尔津吉斯,2947
德文-布克,2943
卡尔-安东尼-唐斯,2943
C.J.迈克鲁姆,2935
贾马尔-穆雷,2925
本-西蒙斯,2925
帕斯卡尔-西亚卡姆,2900
安德烈-德拉蒙德,2875
安东尼-戴维斯,2875
布拉德利-比尔,2875
德安吉洛-拉塞尔,2865
尼科拉-约季奇,2854
奥托-波特,2849
德玛尔-德罗赞,2774
史蒂文-亚当斯,2753
扬尼斯-阿德托昆博,2753
艾尔-霍福德,2750
尼古拉斯-巴通姆,2713
鲁迪-戈波特,2653
朱-霍勒迪,2613
尼古拉-武切维奇,2600
巴迪-希尔德,2443
拉玛库斯-阿尔德里奇,2400
杰伦-布朗,2299
德雷蒙德-格林 ,2225
哈里森-巴恩斯,2222
维克多-奥拉迪波,2100
