科比-布莱恩特,2785
德克-诺维茨基,2091
吉尔波特-阿里纳斯,2081
阿玛雷-斯塔德迈尔,1995
乔-约翰逊,1975
德怀特-霍华德,1954
卡梅罗-安东尼,1945
保罗-加索尔,1900
克里斯-保罗,1778
勒布朗-詹姆斯,1755
克里斯-波什,1755
德维恩-韦德,1718
德隆-威廉姆斯,1718
安德鲁-拜纳姆,1689
保罗-皮尔斯,1679
凯文-杜兰特,1667
扎克-兰多夫,1650
鲁迪-盖伊,1646
德里克-罗斯,1640
布兰登-罗伊,1636
埃尔顿-布兰德,1606
艾尔-杰弗森,1500
卡洛斯-布泽尔,1500
安德烈-伊格达拉,1497
拜伦-戴维斯,1485
马努-吉诺比利,1411
马克-加索尔,1389
拉沙德-刘易斯,1370
罗伊-希波特,1369
布鲁克-洛佩斯,1367
凯文-乐福,1367
埃里克-戈登,1367
拉塞尔-威斯布鲁克,1367
泰森-钱德勒,1360
拉玛库斯-阿尔德里奇,1350
埃梅卡-奥卡福,1349
洛尔-邓,1331
约什-史密斯,1320
丹尼-格兰杰,1306
安德鲁-博古特,1300
内内-希拉里奥,1300
大卫-李,1274
托尼-帕克,1250
凯文-马丁,1244
本-戈登,1240
艾尔-霍福德,1200
克里斯-亨弗里斯,1200
希度-特科格鲁,1182
凯文-加内特,1157
乔金-诺阿,1130
