斯蒂芬-库里,3468
勒布朗-詹姆斯,3329
保罗-米尔萨普,3127
戈登-海沃德,2973
布雷克-格里芬,2973
凯尔-洛瑞,2870
迈克-康利,2853
拉塞尔-威斯布鲁克,2853
詹姆斯-哈登,2830
德玛尔-德罗赞,2774
艾尔-霍福德,2773
卡梅罗-安东尼,2624
达米安-利拉德,2615
朱-霍勒迪,2569
克里斯-波什,2529
凯文-杜兰特,2500
奥托-波特,2477
克里斯-保罗,2460
C.J.迈克鲁姆,2396
安德烈-德拉蒙德,2378
布拉德利-比尔,2378
哈桑-怀特塞德,2378
安东尼-戴维斯,2378
德怀特-霍华德,2350
钱德勒-帕森斯,2311
哈里森-巴恩斯,2311
J.J.雷迪克,2300
凯文-乐福,2264
布鲁克-洛佩斯,2264
德安德鲁-乔丹,2264
马克-加索尔,2264
扬尼斯-阿德托昆博,2247
史蒂文-亚当斯,2247
尼古拉斯-巴通姆,2243
鲁迪-戈波特,2197
拉玛库斯-阿尔德里奇,2146
维克多-奥拉迪波,2100
埃内斯-坎特,2057
达尼罗-加里纳利,2056
赛尔吉-伊巴卡,2006
乔治-希尔,2000
莱恩-安德森,1958
保罗-乔治,1951
阿伦-克拉布,1933
吉米-巴特勒,1930
杰夫-蒂格,1900
科怀-伦纳德,1887
凯里-欧文,1887
约翰-沃尔,1806
德马库斯-考辛斯,1806
