科比-布莱恩特,2524
凯文-加内特,2125
蒂姆-邓肯,2116
拉沙德-刘易斯,2114
吉尔波特-阿里纳斯,1927
德克-诺维茨基,1909
保罗-加索尔,1871
卡梅罗-安东尼,1852
文斯-卡特,1830
阿玛雷-斯塔德迈尔,1822
德怀特-霍华德,1809
乔-约翰逊,1804
埃尔顿-布兰德,1706
德隆-威廉姆斯,1636
克里斯-保罗,1636
布兰登-罗伊,1603
勒布朗-詹姆斯,1602
克里斯-波什,1602
德维恩-韦德,1569
凯文-杜兰特,1551
保罗-皮尔斯,1533
扎克-兰多夫,1520
安托万-贾米森,1508
鲁迪-盖伊,1503
安德鲁-拜纳姆,1490
克里斯-卡曼,1403
艾尔-杰弗森,1400
拜伦-戴维斯,1390
安德烈-伊格达拉,1353
卡洛斯-布泽尔,1350
泰森-钱德勒,1311
内内-希拉里奥,1300
马努-吉诺比利,1298
马克-加索尔,1292
埃梅卡-奥卡福,1254
理查德-汉密尔顿,1250
托尼-帕克,1250
约什-史密斯,1240
拉玛库斯-阿尔德里奇,1237
洛尔-邓,1233
昌西-比卢普斯,1220
丹尼-格兰杰,1202
安德鲁-博古特,1200
乔金-诺阿,1200
艾尔-霍福德,1200
史蒂夫-纳什,1169
大卫-李,1161
本-戈登,1160
凯文-马丁,1152
马库斯-坎比,1123
