斯蒂芬-库里,3746
克里斯-保罗,3565
拉塞尔-威斯布鲁克,3565
勒布朗-詹姆斯,3565
布雷克-格里芬,3209
戈登-海沃德,3121
凯尔-洛瑞,3120
保罗-乔治,3056
迈克-康利,3052
詹姆斯-哈登,3042
凯文-杜兰特,3000
保罗-米尔萨普,2923
艾尔-霍福德,2893
达米安-利拉德,2798
德玛尔-德罗赞,2774
克里斯-波什,2684
奥托-波特,2601
朱-霍勒迪,2598
C.J.迈克鲁姆,2576
卡梅罗-安东尼,2553
安德鲁-威金斯,2547
乔尔-恩比德,2547
哈桑-怀特塞德,2543
安德烈-德拉蒙德,2543
布拉德利-比尔,2543
安东尼-戴维斯,2543
尼科拉-约季奇,2461
史蒂文-亚当斯,2416
扬尼斯-阿德托昆博,2416
马克-加索尔,2412
凯文-乐福,2412
哈里森-巴恩斯,2411
钱德勒-帕森斯,2411
尼古拉斯-巴通姆,2400
鲁迪-戈波特,2324
科怀-伦纳德,2311
德安德鲁-乔丹,2290
拉玛库斯-阿尔德里奇,2235
赛尔吉-伊巴卡,2167
阿隆-戈登,2159
达尼罗-加里纳利,2159
维克多-奥拉迪波,2100
吉米-巴特勒,2045
莱恩-安德森,2042
凯里-欧文,2010
贾巴里-帕克,2000
扎克-拉文,1950
泰勒-约翰逊,1925
约翰-沃尔,1917
杰夫-蒂格,1900
