科比-布莱恩特,3045
德克-诺维茨基,2272
卡梅罗-安东尼,2241
阿玛雷-斯塔德迈尔,2168
乔-约翰逊,2147
德怀特-霍华德,2051
保罗-加索尔,1929
克里斯-波什,1907
勒布朗-詹姆斯,1907
德维恩-韦德,1867
克里斯-保罗,1867
德隆-威廉姆斯,1847
鲁迪-盖伊,1789
凯文-杜兰特,1783
扎克-兰多夫,1780
德里克-罗斯,1763
布雷克-格里芬,1644
保罗-皮尔斯,1533
卡洛斯-布泽尔,1530
马克-加索尔,1486
布鲁克-洛佩斯,1469
凯文-乐福,1469
拉塞尔-威斯布鲁克,1469
埃梅卡-奥卡福,1449
罗伊-希波特,1428
埃里克-戈登,1428
洛尔-邓,1428
洛尔-邓,1428
拉玛库斯-阿尔德里奇,1413
泰森-钱德勒,1410
丹尼-格兰杰,1402
安德鲁-博古特,1400
大卫-李,1388
詹姆斯-哈登,1370
艾尔-杰弗森,1350
约什-史密斯,1350
本-戈登,1320
内内-希拉里奥,1300
安德烈-伊格达拉,1287
托尼-帕克,1250
凯文-加内特,1244
赛尔吉-伊巴卡,1225
尼科拉-佩科维奇,1210
艾尔-霍福德,1200
克里斯-亨弗里斯,1200
希度-特科格鲁,1200
大卫-韦斯特,1200
拉简-朗多,1195
安德里亚-巴尼亚尼,1186
尼古拉斯-巴通姆,1130
