斯蒂芬-库里,4578
克里斯-保罗,4421
拉塞尔-威斯布鲁克,4385
约翰-沃尔,4385
詹姆斯-哈登,4385
达米安-利拉德,4375
勒布朗-詹姆斯,4100
凯文-杜兰特,4092
布雷克-格里芬,3896
克莱-汤普森,3798
保罗-乔治,3790
吉米-巴特勒,3602
肯巴-沃克,3602
科怀-伦纳德,3602
托比亚斯-哈里斯,3600
克里斯-米德尔顿,3550
凯里-欧文,3492
布拉德利-比尔,3450
克里斯塔普斯-波尔津吉斯,3165
德文-布克,3161
卡尔-安东尼-唐斯,3161
贾马尔-穆雷,3159
本-西蒙斯,3159
安德鲁-威金斯,3158
乔尔-恩比德,3158
帕斯卡尔-西亚卡姆,3132
凯文-乐福,3130
C.J.迈克鲁姆,3086
尼科拉-约季奇,3051
德安吉洛-拉塞尔,3001
朱-霍勒迪,2702
艾尔-霍福德,2700
杰伦-布朗,2483
德雷蒙德-格林 ,2403
尼古拉-武切维奇,2400
巴迪-希尔德,2248
马尔科姆-布罗格登,2170
加里-哈里斯,2048
哈里森-巴恩斯,2028
朱利叶斯-兰德尔,1980
扎克-拉文,1950
博扬-博格达诺维奇,1870
多曼塔斯-萨博尼斯,1856
克林特-卡佩拉,1854
埃里克-戈登,1822
埃里克-布莱索,1813
迈尔斯-特纳,1800
特里-罗齐尔,1791
里基-卢比奥,1781
卡里斯-勒夫特,1750
